customer_id,recency,frequency,monetary,segment
CS1112,2015-01-14,15,1012,Gold
CS1113,2015-02-09,20,1490,VIP
CS1114,2015-02-12,19,1432,VIP
CS1115,2015-03-05,22,1659,VIP
CS1116,2014-08-25,13,857,Silver
CS1117,2014-07-02,17,1185,Gold
CS1118,2015-03-14,15,1011,Gold
CS1119,2015-03-05,15,1158,Gold
CS1120,2015-03-06,24,1677,VIP
CS1121,2015-02-03,26,1524,VIP
CS1122,2015-02-02,16,1156,Gold
CS1123,2014-11-27,19,1331,Gold
CS1124,2015-01-02,18,1127,Gold
CS1125,2015-02-19,12,885,Silver
CS1126,2014-09-18,19,1165,Gold
CS1127,2015-02-05,24,1676,VIP
CS1128,2014-12-31,26,1921,VIP
CS1129,2014-11-30,12,853,Silver
CS1130,2015-03-13,19,1185,Gold
CS1131,2015-02-24,14,998,Silver
CS1132,2015-02-17,16,1074,Gold
CS1133,2015-02-21,19,1413,VIP
CS1134,2014-11-27,16,1166,Gold
CS1135,2014-04-15,20,1267,Gold
CS1136,2015-02-17,20,1339,Gold
CS1137,2015-01-20,20,1380,Gold
CS1138,2015-03-03,24,1863,VIP
CS1139,2014-11-25,18,1245,Gold
CS1140,2015-02-16,20,1434,VIP
CS1141,2015-01-22,25,1778,VIP
CS1142,2014-10-06,22,1847,VIP
CS1143,2014-08-16,16,1255,Gold
CS1144,2014-10-11,18,1222,Gold
CS1145,2014-10-25,27,1967,VIP
CS1146,2015-03-09,16,1117,Gold
CS1147,2015-03-12,15,1004,Gold
CS1148,2014-12-23,25,1733,VIP
CS1149,2015-03-01,25,1768,VIP
CS1150,2014-12-17,14,1075,Gold
CS1151,2015-02-18,16,1040,Gold
CS1152,2015-03-10,20,1457,VIP
CS1153,2015-02-10,18,1274,Gold
CS1154,2015-03-16,23,1436,VIP
CS1155,2014-11-10,19,1317,Gold
CS1156,2015-03-07,20,1445,VIP
CS1157,2015-02-25,21,1427,VIP
CS1158,2014-12-04,18,1159,Gold
CS1159,2015-02-08,22,1439,VIP
CS1160,2015-01-31,20,1380,Gold
CS1161,2015-03-12,22,1389,Gold
CS1162,2015-02-25,24,1815,VIP
CS1163,2015-02-06,18,1290,Gold
CS1164,2015-02-27,26,2037,VIP
CS1165,2014-12-12,20,1335,Gold
CS1166,2014-12-08,19,1507,VIP
CS1167,2014-11-17,16,1132,Gold
CS1168,2014-11-25,14,916,Silver
CS1169,2014-12-20,18,1175,Gold
CS1170,2015-03-13,18,1272,Gold
CS1171,2015-03-15,22,1555,VIP
CS1172,2014-07-01,18,1306,Gold
CS1173,2015-01-26,21,1429,VIP
CS1174,2015-02-21,23,1554,VIP
CS1175,2015-01-23,17,1106,Gold
CS1176,2015-02-15,18,1401,VIP
CS1177,2015-02-06,17,1310,Gold
CS1178,2015-02-13,22,1535,VIP
CS1179,2015-01-29,29,2091,VIP
CS1180,2015-01-21,23,1637,VIP
CS1181,2015-01-18,27,1893,VIP
CS1182,2014-12-04,24,1749,VIP
CS1183,2015-03-04,26,1967,VIP
CS1184,2015-03-16,28,1999,VIP
CS1185,2015-03-05,27,1801,VIP
CS1186,2015-01-23,19,1439,VIP
CS1187,2015-02-22,22,1559,VIP
CS1188,2015-03-12,16,1010,Gold
CS1189,2015-01-12,23,1564,VIP
CS1190,2015-02-04,18,1324,Gold
CS1191,2015-01-09,21,1522,VIP
CS1192,2015-02-06,18,1313,Gold
CS1193,2014-06-06,15,953,Silver
CS1194,2015-03-07,22,1505,VIP
CS1195,2015-02-24,20,1378,Gold
CS1196,2015-03-15,23,1559,VIP
CS1197,2014-10-06,17,1180,Gold
CS1198,2015-03-05,22,1571,VIP
CS1199,2014-11-12,20,1344,Gold
CS1200,2014-09-27,21,1667,VIP
CS1201,2015-01-23,19,1375,Gold
CS1202,2015-01-21,20,1331,Gold
CS1203,2015-01-27,21,1536,VIP
CS1204,2015-01-28,17,1023,Gold
CS1205,2015-03-13,17,1103,Gold
CS1206,2014-10-10,24,1514,VIP
CS1207,2015-02-05,18,1310,Gold
CS1208,2015-02-09,15,1000,Silver
CS1209,2015-03-14,27,1809,VIP
CS1210,2014-12-08,21,1546,VIP
CS1211,2015-01-18,18,1218,Gold
CS1212,2014-10-09,17,1200,Gold
CS1213,2014-11-09,18,1191,Gold
CS1214,2015-03-09,19,1289,Gold
CS1215,2014-11-03,35,2362,VIP
CS1216,2014-10-28,24,1798,VIP
CS1217,2014-12-29,20,1431,VIP
CS1218,2015-02-07,24,1687,VIP
CS1219,2015-03-12,21,1447,VIP
CS1220,2015-02-24,9,720,Silver
CS1221,2014-10-04,19,1372,Gold
CS1222,2015-01-30,21,1585,VIP
CS1223,2015-01-22,17,1299,Gold
CS1224,2014-11-21,8,578,Silver
CS1225,2015-01-28,17,999,Silver
CS1226,2015-01-21,18,1213,Gold
CS1227,2015-02-19,27,1783,VIP
CS1228,2015-01-29,19,1368,Gold
CS1229,2015-02-17,19,1194,Gold
CS1230,2015-03-11,20,1415,VIP
CS1231,2014-10-13,23,1750,VIP
CS1232,2014-12-11,20,1452,VIP
CS1233,2014-11-21,21,1374,Gold
CS1234,2015-03-12,21,1349,Gold
CS1235,2014-10-26,22,1507,VIP
CS1236,2015-02-02,22,1668,VIP
CS1237,2014-08-28,24,1823,VIP
CS1238,2015-02-24,26,1808,VIP
CS1239,2014-07-07,11,771,Silver
CS1240,2015-03-13,30,2126,VIP
CS1241,2015-02-16,27,1818,VIP
CS1242,2015-01-16,13,943,Silver
CS1243,2015-02-06,17,1087,Gold
CS1244,2014-10-26,21,1492,VIP
CS1245,2015-01-03,19,1321,Gold
CS1246,2014-05-25,20,1431,VIP
CS1247,2015-02-16,28,1773,VIP
CS1248,2015-03-07,17,1172,Gold
CS1249,2014-12-17,23,1846,VIP
CS1250,2015-03-04,24,1625,VIP
CS1251,2015-03-14,14,1035,Gold
CS1252,2014-11-29,18,1411,VIP
CS1253,2015-01-01,17,1399,Gold
CS1254,2015-03-13,21,1599,VIP
CS1255,2015-01-08,29,1998,VIP
CS1256,2014-08-15,19,1304,Gold
CS1257,2015-02-19,15,1050,Gold
CS1258,2015-02-19,22,1458,VIP
CS1259,2014-09-29,22,1679,VIP
CS1260,2014-10-21,26,1941,VIP
CS1261,2014-12-19,26,1943,VIP
CS1262,2014-12-22,16,1040,Gold
CS1263,2015-03-13,14,1096,Gold
CS1264,2015-03-13,12,959,Silver
CS1265,2015-01-24,14,1128,Gold
CS1266,2015-02-05,15,1076,Gold
CS1267,2014-11-26,26,1812,VIP
CS1268,2015-01-10,27,1946,VIP
CS1269,2015-01-07,19,1272,Gold
CS1270,2015-02-17,27,1990,VIP
CS1271,2015-02-09,25,1683,VIP
CS1272,2015-02-27,19,1279,Gold
CS1273,2015-02-17,25,1800,VIP
CS1274,2015-03-11,20,1381,Gold
CS1275,2015-03-16,18,1321,Gold
CS1276,2015-02-17,21,1505,VIP
CS1277,2014-12-18,17,1142,Gold
CS1278,2014-11-27,22,1572,VIP
CS1279,2015-01-28,21,1411,VIP
CS1280,2015-03-03,21,1262,Gold
CS1281,2015-03-04,23,1715,VIP
CS1282,2014-11-04,15,1014,Gold
CS1283,2015-02-25,22,1683,VIP
